Link,Description
Ridership - Bus Routes - Daily Totals by Route (http://data.cityofchicago.org/dataset/CTA-Ridership-Bus-Routes-Daily-Totals-by-Route/jyb9-n7fm),"This dataset shows total daily ridership on a per-route basis dating back to 2001. Daytypes are as follows: W=Weekday, A=Saturday, U=Sunday/Holiday. See attached readme file for more detailed information."
Ridership - Bus Routes - Monthly Day-Type Averages & Totals (http://data.cityofchicago.org/dataset/CTA-Ridership-Bus-Routes-Monthly-Day-Type-Averages/bynn-gwxy),"This dataset shows monthly averages, by day type (weekday, Saturday or Sunday/Holiday) and monthly totals for all CTA bus routes, back to 2001. See attached readme file for information on how these numbers are calculated."
Ridership - Bus Stop Boardings (October 2012) (http://data.cityofchicago.org/dataset/CTA-Ridership-Bus-Stop-Boardings-in-September-2010/mq3i-nnqe),This dataset shows approximate boardings by bus stop from the month of October 2012.
Ridership - Daily Boarding Totals (http://data.cityofchicago.org/dataset/CTA-Ridership-Daily-Boarding-Totals/6iiy-9s97),"This dataset shows systemwide boardings for both bus and rail services provided by CTA. Daytypes are as follows: W = Weekday, A = Saturday, U = Sunday/Holiday. See attached readme file for information on how these numbers are calculated."
Ridership - 'L' Station Entries - Daily Totals (http://data.cityofchicago.org/dataset/CTA-Ridership-L-Stations-Daily-Totals/5neh-572f),"This list shows daily totals of ridership, by station entry, for each 'L' station dating back to 2001. Dataset shows entries at all turnstiles, combined, for each station. Daytypes are as follows: W=Weekday, A=Saturday, U=Sunday/Holiday. See attached readme file for information on how these numbers are calculated."
Ridership - 'L' Station Entries - Monthly Day-Type Averages & Totals (http://data.cityofchicago.org/dataset/CTA-Ridership-L-Stations-Monthly-Day-Type-Averages/t2rn-p8d7),"This dataset lists monthly station entry averages, by day type (Weekday, Saturday or Sunday/Holiday), as well as monthly totals, beginning in 2001. Note that some stations (such as on the Cermak Branch--now Pink Line) and Skokie did not have Saturday and/or Sunday/holiday service until more recent years, although, in cases where weekday service ran past midnight, late evening fares may appear as part of Saturday tallies."
System Information - Developer Tool: Bus Tracker API (http://data.cityofchicago.org/dataset/CTA-System-Information-Developer-Tool-Bus-Tracker-/cbr6-47jj),"Data feeds which provide a pathway for developers to retrieve estimated arrival times, bus stop lists, route patterns, vehicle location information and more from the CTA Bus Tracker (SM) service and incorporate it into third-party apps and projects."
System Information - Developer Tool: Customer Alerts APIs (http://data.cityofchicago.org/dataset/CTA-System-Information-Developer-Tool-Customer-Ale/9eh7-quct),These feeds of information help developers to get the latest information about planned and unplanned events that affect CTA services.
System Information - Developer Tool: GTFS Data (http://data.cityofchicago.org/dataset/CTA-System-Information-Developer-Tool-GTFS-Data/sp6w-yusg),"eneral Transit Feed Specification (formerly ""Google Transit Feed Specification"") data package for CTA system, including stops, route patterns and full service schedule."
System Information - Developer Tool: Train Tracker API (beta) (http://data.cityofchicago.org/dataset/CTA-System-Information-Developer-Tool-Train-Tracke/m538-a3va),Data feed that provides a pathway for developers to retrieve estimated arrival times from the CTA Train Tracker (SM) service and incorporate it into third-party apps and projects.
System Information - List of 'L' Stops (http://data.cityofchicago.org/dataset/CTA-System-Information-List-of-L-Stops/8pix-ypme),"This list of 'L' stops provides location and basic service availability information for each place on the CTA system where a train stops, along with formal station names and stop descriptions."
