Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
01/02/2015,FORD,PK,,WHI,16532Z,IL,701 N. Sacramento,(773) 265-7605,6804055
01/02/2015,FORD,VN,,YEL,49502WB,IL,10300 S. Doty,(773) 785-9752,1714942
01/02/2015,GMC,LL,,GRY,V746383,IL,10300 S. Doty,(773) 568-8495,2754018
01/02/2015,GMC,PK,,WHI,ZFL4093,PA,701 N. Sacramento,(773) 265-7605,6804032
01/02/2015,HOND,2D,,BLK,Y104752,IL,400 E. Lower Wacker,(312) 744-7550,919320
01/02/2015,HOND,2D,,BLK,V443332,IL,701 N. Sacramento,(773) 265-7605,6804019
01/02/2015,HOND,2D,,BLU,N438767,IL,701 N. Sacramento,(773) 265-7605,6804054
01/02/2015,HOND,2D,,SIL,V777446,IL,400 E. Lower Wacker,(312) 744-7550,919319
01/02/2015,HOND,2D,,TAN,R520987,IL,701 N. Sacramento,(773) 265-7605,6804071
01/02/2015,HOND,4D,,BLK,ST3903,IL,400 E. Lower Wacker,(312) 744-7550,919315
01/02/2015,HOND,4D,,GRN,253R756,IL,701 N. Sacramento,(773) 265-7605,6804027
01/02/2015,HOND,4D,,GRY,6513610,IL,400 E. Lower Wacker,(312) 744-7550,919288
01/02/2015,HOND,4D,,BLK,S928328,IL,701 N. Sacramento,(773) 265-7605,6804048
01/02/2015,HOND,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6804070
01/02/2015,HOND,4D,,PLE,V670728,IL,701 N. Sacramento,(773) 265-7605,6804066
01/02/2015,HOND,VN,,MAR,R418022,IL,701 N. Sacramento,(773) 265-7605,6804046
01/02/2015,HUMM,LL,,WHI,X941898,IL,10300 S. Doty,(773) 568-8495,2754021
01/02/2015,HYUN,4D,,SIL,S402963,IL,400 E. Lower Wacker,(312) 744-7550,919322
01/02/2015,HYUN,4D,,SIL,X202744,IL,400 E. Lower Wacker,(312) 744-7550,919323
01/02/2015,INFI,4D,,GRY,338BPE,IN,701 N. Sacramento,(773) 265-7605,6804025
01/02/2015,ISU,LL,,GRY,G559235,IL,701 N. Sacramento,(773) 265-7605,6804018
01/02/2015,JEEP,LL,TK,BRO,2191783,IL,10300 S. Doty,(773) 568-8495,2753994
01/02/2015,JEEP,LL,TK,RED,,,701 N. Sacramento,(773) 265-7605,6804065
01/02/2015,JEEP,LL,TK,WHI,,IL,10300 S. Doty,(773) 568-8495,2753971
01/02/2015,KIA,4D,,BLU,H672341,IL,10300 S. Doty,(773) 568-8495,2753982
01/02/2015,LINC,4D,,,V505216,IL,701 N. Sacramento,(773) 265-7605,6804042
01/02/2015,MAZD,4D,,GRY,339KZB,WI,400 E. Lower Wacker,(312) 744-7550,919325
01/02/2015,MAZD,4D,,BRO,XRW115,LA,400 E. Lower Wacker,(312) 744-7550,919317
01/02/2015,MAZD,4D,,PLE,E131083,IL,400 E. Lower Wacker,(312) 744-7550,919318
01/02/2015,MAZD,4D,,GRY,S916210,IL,701 N. Sacramento,(773) 265-7605,6803999
01/02/2015,MITS,4D,,GRY,1085433,IL,701 N. Sacramento,(773) 265-7605,6804016
01/02/2015,MITS,LL,TK,SIL,6557285,IL,701 N. Sacramento,(773) 265-7605,6804003
01/02/2015,NISS,4D,,TAN,S921211,IL,701 N. Sacramento,(773) 265-7605,6804002
01/02/2015,NISS,4D,,BLU,L388465,IL,701 N. Sacramento,(773) 265-7605,6804008
01/02/2015,NISS,4D,,GRY,K741109,IL,701 N. Sacramento,(773) 265-7605,6804001
01/02/2015,NISS,4D,,MAR,K341084,IL,701 N. Sacramento,(773) 265-7605,6804022
01/02/2015,NISS,4D,,BLK,MRJSL1,IL,400 E. Lower Wacker,(312) 744-7550,919326
01/02/2015,NISS,4D,,BLK,S319543,IL,10300 S. Doty,(773) 568-8495,2753986
01/02/2015,NISS,4D,,SIL,V715527,IL,10300 S. Doty,(773) 568-8495,465131
01/02/2015,NISS,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,6804069
01/02/2015,NISS,4D,,GRY,K163079,IL,10300 S. Doty,(773) 568-8495,2754016
01/02/2015,PONT,2D,,MAR,V328308,IL,10300 S. Doty,(773) 568-8495,2753974
01/02/2015,PONT,4D,,MAR,N198763,IL,10300 S. Doty,(773) 568-8495,2753980
01/02/2015,PONT,4D,,SIL,N977570,IL,701 N. Sacramento,(773) 265-7605,6804067
01/02/2015,PONT,4D,,GRN,S898782,IL,400 E. Lower Wacker,(312) 744-7550,919297
01/02/2015,PONT,4D,,GRY,V139714,IL,701 N. Sacramento,(773) 265-7605,6804015
01/02/2015,PONT,4D,,WHI,,IL,701 N. Sacramento,(773) 265-1846,1533036
01/02/2015,PONT,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2753970
01/02/2015,PONT,4D,,GRY,N662731,IL,701 N. Sacramento,(773) 265-7605,6804020
01/02/2015,PONT,4D,,RED,V758879,IL,10300 S. Doty,(773) 568-8495,2754012
01/02/2015,SATR,4D,,GRN,H257089,IL,701 N. Sacramento,(773) 265-7605,6804023
01/02/2015,SATR,4D,,BLK,R137569,IL,701 N. Sacramento,(773) 265-7605,6804000
01/02/2015,SUBA,4D,,BLK,R146148,IL,701 N. Sacramento,(773) 265-7605,6804011
01/02/2015,SUZI,4D,,BLU,S155454,IL,701 N. Sacramento,(773) 265-7605,6804039
01/02/2015,TOYT,2D,,BLU,J608628,IL,701 N. Sacramento,(773) 265-7605,6804038
01/02/2015,TOYT,4D,,BLU,N311835,IL,400 E. Lower Wacker,(312) 744-7550,919328
01/02/2015,TOYT,4D,,RED,V444283,IL,701 N. Sacramento,(773) 265-1846,1533034
01/02/2015,TOYT,4D,,GLD,R161383,IL,400 E. Lower Wacker,(312) 744-7550,919295
01/02/2015,TOYT,4D,,MAR,K602213,IL,701 N. Sacramento,(773) 265-7605,6804035
01/02/2015,TOYT,4D,,GRN,V612756,IL,10300 S. Doty,(773) 568-8495,2753983
01/02/2015,TOYT,4D,,GRN,R488072,IL,701 N. Sacramento,(773) 265-7605,6804056
01/02/2015,TOYT,4D,,GLD,G107203,IL,10300 S. Doty,(773) 568-8495,2753978
01/02/2015,TOYT,4D,,BLK,R696681,IL,701 N. Sacramento,(773) 265-7605,6804021
01/02/2015,TOYT,4D,,BLK,P879899,IL,701 N. Sacramento,(773) 265-7605,6804034
01/02/2015,TOYT,4D,,SIL,L847070,IL,400 E. Lower Wacker,(312) 744-7550,919316
01/02/2015,TOYT,4D,,GRN,S956236,IL,701 N. Sacramento,(773) 265-7605,6804072
01/02/2015,TOYT,LD,,BLK,S137895,IL,701 N. Sacramento,(773) 265-7605,6804013
01/02/2015,TOYT,LL,,BLU,11079,IL,400 E. Lower Wacker,(312) 744-7550,919324
01/02/2015,TOYT,LL,,BRO,V564808,IL,701 N. Sacramento,(773) 265-7605,6804061
01/02/2015,TOYT,SW,,WHI,R716502,IL,701 N. Sacramento,(773) 265-7605,6804033
01/02/2015,TOYT,VN,,BLU,1948896,IL,701 N. Sacramento,(773) 265-7605,6804047
01/02/2015,VOLV,4D,,GRN,,,701 N. Sacramento,(773) 265-7605,6804053
01/02/2015,VOLV,SW,,BLK,,IL,10300 S. Doty,(773) 568-8495,2753973
01/01/2015,BMW,4D,,WHI,526WXJ,WI,701 N. Sacramento,(773) 265-7605,6803857
01/01/2015,BUIC,4D,,BLK,E130043,IL,701 N. Sacramento,(773) 265-7605,6803848
01/01/2015,BUIC,4D,,GRY,S390240,IL,10300 S. Doty,(773) 568-8495,2753908
01/01/2015,BUIC,4D,LES,GRY,750R830,IL,701 N. Sacramento,(773) 265-7605,6803858
01/01/2015,CADI,2D,,GLD,H265467,IL,10300 S. Doty,(773) 568-8495,2753907
01/01/2015,CADI,4D,,GRN,V751488,IL,10300 S. Doty,(773) 568-8495,2753965
01/01/2015,CHEV,2D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2753952
01/01/2015,CHEV,4D,,GRY,P175647,IL,701 N. Sacramento,(773) 265-7605,6803861
01/01/2015,CHEV,4D,,BLK,L457817,IL,701 N. Sacramento,(773) 265-7605,6803984
01/01/2015,CHEV,4D,,WHI,UJ2F9U,MO,10300 S. Doty,(773) 568-8495,2753953
01/01/2015,CHEV,4D,,GRY,R707838,IL,701 N. Sacramento,(773) 265-7605,6803974
01/01/2015,CHEV,4D,,SIL,C0L529,IA,10300 S. Doty,(773) 568-8495,2753912
01/01/2015,CHEV,4D,,GRY,BQH0702,MI,701 N. Sacramento,(773) 265-7605,6803883
01/01/2015,CHEV,4D,,BLU,V827694,IL,701 N. Sacramento,(773) 265-7605,6803860
01/01/2015,CHEV,4D,,BLK,H781502,IL,701 N. Sacramento,(773) 265-7605,6803929
01/01/2015,CHEV,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6803849
01/01/2015,CHEV,4T,,GRY,K522637,IL,701 N. Sacramento,(773) 265-7605,6803878
01/01/2015,CHEV,LL,,BGE,V145003,IL,10300 S. Doty,(773) 568-8495,2753955
01/01/2015,CHEV,LL,,TAN,00112888,IL,10300 S. Doty,(773) 568-8495,2753959
01/01/2015,CHEV,VN,,BLU,V145558,IL,10300 S. Doty,(773) 568-8495,2753904
01/01/2015,CHRY,2D,,BLK,N919618,IL,10300 S. Doty,(773) 568-8495,2753905
01/01/2015,CHRY,4D,,GRY,R482911,IL,701 N. Sacramento,(773) 265-7605,6803990
01/01/2015,CHRY,4D,,BLU,K513428,IL,701 N. Sacramento,(773) 265-7605,6803985
01/01/2015,CHRY,4D,,GRY,R736168,IL,701 N. Sacramento,(773) 265-7605,6803905
01/01/2015,CHRY,4T,,WHI,1157974,IL,701 N. Sacramento,(773) 265-7605,6803916
01/01/2015,CHRY,VN,,BLU,8628619,IL,10300 S. Doty,(773) 568-8495,2753928
01/01/2015,DODG,4D,,BLK,V202643,IL,10300 S. Doty,(773) 568-8495,2753901
01/01/2015,DODG,PK,,BLK,1444482B,IL,701 N. Sacramento,(773) 265-7605,6803997
01/01/2015,FORD,4D,,BLU,1307279,IL,10300 S. Doty,(773) 568-8495,2753967
01/01/2015,FORD,4D,,GRY,L849928,IL,701 N. Sacramento,(773) 265-7605,6803856
01/01/2015,FORD,4D,,SIL,DCS8232,TX,400 E. Lower Wacker,(312) 744-7550,919262
01/01/2015,FORD,LL,TK,TAN,R480638,IL,701 N. Sacramento,(773) 265-7605,6803981
01/01/2015,FORD,LL,,BLK,S797567,IL,10300 S. Doty,(773) 568-8495,2753918
01/01/2015,FORD,LL,,WHI,R503396,IL,701 N. Sacramento,(773) 265-7605,6803865
01/01/2015,FORD,LL,,BLK,R592249,IL,701 N. Sacramento,(773) 265-7605,6803863
01/01/2015,FORD,VN,TK,SIL,PRU67T,NJ,701 N. Sacramento,(773) 265-7605,6803998
01/01/2015,GMC,4D,,BGE,490R959,IL,10300 S. Doty,(773) 568-8495,2753956
01/01/2015,GMC,LL,,MAR,E216510,IL,10300 S. Doty,(773) 568-8495,2753919
01/01/2015,GMC,LL,,BLK,K737598,IL,701 N. Sacramento,(773) 265-7605,6803989
01/01/2015,HOND,2T,,GRY,9669198,IL,701 N. Sacramento,(773) 265-7605,6803880
01/01/2015,HOND,2T,,GRN,N908804,IL,10300 S. Doty,(773) 568-8495,2753934
01/01/2015,HOND,4D,,TAN,1760AD2,AL,10300 S. Doty,(773) 568-8495,2753968
01/01/2015,HOND,4D,,GRY,R762949,IL,701 N. Sacramento,(773) 265-7605,6803968
01/01/2015,HYUN,2T,,MAR,9210744,IL,701 N. Sacramento,(773) 265-7605,6803871
01/01/2015,HYUN,LL,,BLK,CPC7577,MI,701 N. Sacramento,(773) 265-7605,6803940
01/01/2015,INFI,4D,,SIL,L477119,IL,701 N. Sacramento,(773) 265-7605,6803852
01/01/2015,ISU,LL,TK,WHI,V111648,IL,10300 S. Doty,(773) 568-8495,2753964
01/01/2015,JAGU,4D,,BLK,E271871,IL,701 N. Sacramento,(773) 265-7605,6803859
01/01/2015,LEXS,4D,,TAN,E152119,IL,701 N. Sacramento,(773) 265-7605,6803853
01/01/2015,LINC,LL,,BLK,9726LY,IL,701 N. Sacramento,(773) 265-7605,6803995
01/01/2015,LINC,PK,,BLK,71255FF,IL,701 N. Sacramento,(773) 265-7605,6803862
01/01/2015,MAZD,4D,PRO,TAN,S173747,IL,10300 S. Doty,(773) 568-8495,2753966
01/01/2015,MAZD,4D,,BLK,S352775,IL,701 N. Sacramento,(773) 265-7605,6803945
01/01/2015,MERC,4D,,MAR,855CCC,IN,701 N. Sacramento,(773) 265-7605,6803979
01/01/2015,MERZ,4D,,WHI,V130042,IL,10300 S. Doty,(773) 568-8495,2753954
01/01/2015,MITS,4T,,GRY,K971472,IL,701 N. Sacramento,(773) 265-7605,6803899
01/01/2015,NISS,4D,,GRY,K835295,IL,701 N. Sacramento,(773) 265-7605,6803969
01/01/2015,NISS,4D,,BLK,S228080,IL,701 N. Sacramento,(773) 265-7605,6803983
01/01/2015,NISS,4D,,TAN,719R978,IL,10300 S. Doty,(773) 568-8495,2753957
01/01/2015,NISS,LL,,WHI,V583660,IL,701 N. Sacramento,(773) 265-7605,6803855
01/01/2015,NISS,LL,,BLK,P137562,IL,701 N. Sacramento,(773) 265-7605,6803951
01/01/2015,OLDS,4D,,GRY,V385363,IL,701 N. Sacramento,(773) 265-7605,6803973
01/01/2015,PLYM,4D,,BLU,356R931,IL,10300 S. Doty,(773) 568-8495,2753969
01/01/2015,PONT,2D,,RED,S948871,IL,10300 S. Doty,(773) 568-8495,2753917
01/01/2015,PONT,4D,,SIL,E148198,IL,10300 S. Doty,(773) 568-8495,2753911
01/01/2015,PONT,4D,,GRN,N678191,IL,10300 S. Doty,(773) 568-8495,2753962
01/01/2015,PONT,4D,,SIL,V152567,IL,701 N. Sacramento,(773) 265-7605,6803988
01/01/2015,SATR,2T,,GRY,V603194,IL,701 N. Sacramento,(773) 265-7605,6803901
01/01/2015,TOYT,4D,,SIL,R473058,IL,701 N. Sacramento,(773) 265-7605,6803982
01/01/2015,TOYT,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6803854
01/01/2015,TOYT,4D,,BLK,S393429,IL,701 N. Sacramento,(773) 265-7605,6803864
01/01/2015,TOYT,4D,,WHI,9397288,IL,10300 S. Doty,(773) 568-8495,2753951
01/01/2015,TOYT,4T,,WHI,S935275,IL,701 N. Sacramento,(773) 265-7605,6803900
01/01/2015,TOYT,LL,,TAN,N707356,IL,701 N. Sacramento,(773) 265-7605,6803987
01/01/2015,TOYT,PK,TK,GRN,20317C,IL,10300 S. Doty,(773) 568-8495,2753913
01/01/2015,VOLK,4D,,BLK,CMV9769,MI,701 N. Sacramento,(773) 265-7605,6803931
01/01/2015,VOLK,4D,,BLU,N981376,IL,701 N. Sacramento,(773) 265-7605,6803850
12/31/2014,ACUR,2D,,GRY,V508128,IL,701 N. Sacramento,(773) 265-7605,6803845
12/31/2014,ACUR,2T,,GRN,V850898,IL,701 N. Sacramento,(773) 265-7605,6803836
12/31/2014,ACUR,LL,TK,GRY,R824737,IL,701 N. Sacramento,(773) 265-7605,6803834
12/31/2014,BMW,2T,,RED,BMWBOB,IL,10300 S. Doty,(773) 568-8495,2753886
12/31/2014,BUIC,4D,,SIL,A399482,IL,701 N. Sacramento,(773) 265-7605,6803846
12/31/2014,BUIC,4D,,TAN,11076DV,IL,10300 S. Doty,(773) 568-8495,2753872
12/31/2014,CADI,4D,,SIL,A546171,IL,400 E. Lower Wacker,(312) 744-7550,919227
12/31/2014,CADI,4D,,WHI,332R004,IL,10300 S. Doty,(773) 568-8495,2753893
12/31/2014,CADI,4D,,GRN,S385076,IL,701 N. Sacramento,(773) 265-7605,6803835
12/31/2014,CHEV,2D,,BLK,S876049,IL,10300 S. Doty,(773) 568-8495,2753902
12/31/2014,CHEV,2D,,GRN,R311327,IL,701 N. Sacramento,(773) 265-7605,6803748
12/31/2014,CHEV,4D,IMP,WHI,R471384,IL,10300 S. Doty,(773) 568-8495,2753870
12/31/2014,CHEV,4D,MAL,WHI,,IL,10300 S. Doty,(773) 785-9752,1714940
12/31/2014,CHEV,4D,LUM,BLK,L210634,IL,10300 S. Doty,(773) 785-9752,1714938
12/31/2014,CHEV,4D,IMP,BLU,R128643,IL,701 N. Sacramento,(773) 265-7605,6803763
12/31/2014,CHEV,4D,,SIL,V687486,IL,701 N. Sacramento,(773) 265-7605,6803847
12/31/2014,CHEV,4D,,WHI,L890452,IL,701 N. Sacramento,(773) 265-7605,6803774
12/31/2014,CHEV,4D,,GRY,D325116,IL,701 N. Sacramento,(773) 265-7605,6803758
12/31/2014,CHEV,4D,,SIL,S449725,IL,10300 S. Doty,(773) 568-8495,2753859
12/31/2014,CHEV,4D,,BLK,R599249,IL,10300 S. Doty,(773) 568-8495,2753858
12/31/2014,CHEV,4D,,BLK,G6498U,TN,400 E. Lower Wacker,(312) 744-7550,919181
12/31/2014,CHEV,4D,,BLK,V523476,IL,701 N. Sacramento,(773) 265-7605,6803825
12/31/2014,CHEV,4T,,BLK,X412842,IL,701 N. Sacramento,(773) 265-7605,6803837
12/31/2014,CHEV,LL,,BLU,S954740,IL,701 N. Sacramento,(773) 265-7605,6803819
12/31/2014,CHEV,LL,TK,BLU,L929057,IL,10300 S. Doty,(773) 568-8495,2753871
12/31/2014,CHEV,LL,,GRY,24798XB,IL,701 N. Sacramento,(773) 265-7605,6803746
12/31/2014,CHEV,LL,,GRN,N922714,IL,701 N. Sacramento,(773) 265-7605,6803833
12/31/2014,CHEV,PK,S10,GRN,1357708,IL,701 N. Sacramento,(773) 265-7605,6803828
12/31/2014,CHEV,PK,TK,RED,1586543,IL,10300 S. Doty,(773) 568-8495,2753891
12/31/2014,CHEV,VN,,BLU,,IL,10300 S. Doty,(773) 568-8495,2753875
12/31/2014,CHRY,4D,,GRY,S485006,IL,10300 S. Doty,(773) 568-8495,2753896
12/31/2014,CHRY,4D,300,WHI,,IL,10300 S. Doty,(773) 568-8495,2753869
12/31/2014,CHRY,4D,,BLK,E216915,IL,10300 S. Doty,(773) 568-8495,2753860
12/31/2014,DODG,2D,,ONG,2601GI,IL,701 N. Sacramento,(773) 265-7605,6803757
12/31/2014,DODG,4D,,GRY,P125856,IL,10300 S. Doty,(773) 568-8495,2753861
12/31/2014,FORD,4D,,RED,N584457,IL,701 N. Sacramento,(773) 265-7605,6803743
12/31/2014,FORD,4D,,WHI,V856902,IL,10300 S. Doty,(773) 568-8495,2753865
12/31/2014,FORD,4D,,BLK,H130215,IL,701 N. Sacramento,(773) 265-7605,6803739
12/31/2014,FORD,4D,,BLU,S884426,IL,10300 S. Doty,(773) 568-8495,2753863
12/31/2014,FORD,4D,,WHI,794R121,IL,10300 S. Doty,(773) 568-8495,2753898
12/31/2014,FORD,4D,FOC,BLK,S131666,IL,701 N. Sacramento,(773) 265-7605,6803823
12/31/2014,FORD,4D,,MAR,V504510,IL,701 N. Sacramento,(773) 265-7605,6803797
12/31/2014,FORD,4T,,GRY,S921769,IL,701 N. Sacramento,(773) 265-7605,6803759
12/31/2014,FORD,4T,,BLK,R232532,IL,701 N. Sacramento,(773) 265-7605,6803844
12/31/2014,FORD,LL,EXP,GRN,V149959,IL,701 N. Sacramento,(773) 265-7605,6803764
12/31/2014,FORD,LL,,TAN,V853851,IL,701 N. Sacramento,(773) 265-7605,6803760
12/31/2014,FORD,LL,,WHI,X805041,IL,701 N. Sacramento,(773) 265-7605,6803747
12/31/2014,FORD,LL,,ONG,S903216,IL,701 N. Sacramento,(773) 265-7605,6803775
12/31/2014,FORD,VN,,WHI,R728504,IL,10300 S. Doty,(773) 568-8495,2753895
12/31/2014,GMC,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6803751
12/31/2014,GMC,VN,,TAN,S137579,IL,701 N. Sacramento,(773) 265-7605,6803831
12/31/2014,HARL,MC,,GRY,DM4689,IL,10300 S. Doty,(773) 568-8495,2753852
12/31/2014,HOND,2T,,BLK,S878047,IL,10300 S. Doty,(773) 568-8495,2753856
12/31/2014,HOND,4D,CIV,GRY,L911892,IL,701 N. Sacramento,(773) 265-7605,6803826
12/31/2014,HOND,4D,,WHI,00115235,IL,10300 S. Doty,(773) 568-8495,2753854
12/31/2014,HOND,4D,,BLK,V934656,IL,701 N. Sacramento,(773) 265-7605,6803842
12/31/2014,HOND,4D,ACC,WHI,,IL,701 N. Sacramento,(773) 265-1846,1533030
12/31/2014,HOND,4D,,BLK,P872104,IL,10300 S. Doty,(773) 568-8495,2753874
12/31/2014,HOND,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6803754
12/31/2014,HOND,4D,,GRN,A471897,IL,400 E. Lower Wacker,(312) 744-7550,919257
12/31/2014,HYUN,4T,,WHI,K8950A,WI,10300 S. Doty,(773) 568-8495,2753887
12/31/2014,JAGU,4D,,BLK,S725937,IL,10300 S. Doty,(773) 568-8495,2753867
12/31/2014,JEEP,4D,,BLU,3624921,IL,10300 S. Doty,(773) 568-8495,2753873
12/31/2014,JEEP,LL,,BLK,L634688,IL,701 N. Sacramento,(773) 265-7605,6803750
12/31/2014,JEEP,LL,CHE,RED,L746670,IL,701 N. Sacramento,(773) 265-1846,1533029
12/31/2014,KIA,4D,,WHI,N863471,IL,400 E. Lower Wacker,(312) 744-7550,919245
12/31/2014,KIA,4D,,WHI,R139824,IL,701 N. Sacramento,(773) 265-7605,6803843
12/31/2014,KIA,4D,,WHI,V250780,IL,701 N. Sacramento,(773) 265-7605,6803744
12/31/2014,LEXS,4D,,GRN,V612153,IL,10300 S. Doty,(773) 568-8495,2753899
12/31/2014,LINC,4D,,BLK,P103636,IL,701 N. Sacramento,(773) 265-7605,6803756
12/31/2014,MAZD,4D,,BLU,V258125,IL,701 N. Sacramento,(773) 265-7605,6803755
12/31/2014,MAZD,4T,,MAR,37691,IN,400 E. Lower Wacker,(312) 744-7550,919233
